"distrito_datawrapper";"distrito_tabnet";"obitos_total";"pop_total";"coef_total";"taxa_ajustada"
"MORUMBI";"Morumbi";39;52921;73,6947525556962;45,1744089203907
"VILA LEOPOLDINA";"Vila Leopoldina";31;45092;68,7483367337887;44,7080059117221
"SANTO AMARO";"Santo Amaro";73;74447;98,0563353795318;42,8842073055087
"CONSOLACAO";"Consolação";48;57405;83,6164097204076;42,0372126348881
"SAUDE";"Saúde";123;134147;91,6904589741105;40,6809969476665
"PINHEIROS";"Pinheiros";58;65909;88,0001213794778;38,4444675987979
"ALTO DE PINHEIROS";"Alto de Pinheiros";39;40962;95,2101948147063;35,1499925685533
"ITAIM BIBI";"Itaim Bibi";79;97229;81,2514784683582;34,0706474023373
"PERDIZES";"Perdizes";83;114788;72,3072098128724;31,2136693340995
"JAGUARE";"Jaguaré";23;55192;41,6727061893028;31,1103742110208
"JARDIM PAULISTA";"Jardim Paulista";72;90719;79,3659542102536;29,5412860424514
"MOEMA";"Moema";55;89382;61,5336421203374;26,9179040968889
"MARSILAC";"Marsilac";0;8426;0;0
