"muni_id";"muni_id_6";"muni_nm";"uf_sigla";"obitos_total";"pop_total";"coef_total";"taxa_ajustada"
"2407807";240780;"Monte Alegre";"RN";3;22576;13,2884479092842;16,3629026091604
"2108405";210840;"Peri Mirim";"MA";2;14345;13,9421401185082;16,3409027865339
"2107100";210710;"Morros";"MA";2;19572;10,2186797465767;16,2571062168943
"2108900";210890;"Poção de Pedras";"MA";3;17595;17,0502983802217;16,2056772823779
"2300408";230040;"Aiuaba";"CE";3;17493;17,149717029669;16,1934643915672
"4106456";410645;"Coronel Domingos Soares";"PR";1;7518;13,3014099494546;16,1645569620253
"2103604";210360;"Coroatá";"MA";9;65544;13,731233980227;16,1252100484787
"2201929";220192;"Bonfim do Piauí";"PI";1;5685;17,5901495162709;16,062893081761
"3129400";312940;"Ibertioga";"MG";1;5010;19,9600798403194;16,062893081761
"2919603";291960;"Macajuba";"BA";2;11332;17,6491351923756;16,0511715593859
"2900207";290020;"Abaré";"BA";3;20347;14,7441883324323;16,0489641697406
"3525508";352550;"Joanópolis";"SP";3;13338;22,4921277552857;16,0025248329856
"4107702";410770;"Fênix";"PR";1;4748;21,06149957877;15,9220183486239
"4125100";412510;"São João do Triunfo";"PR";2;15241;13,1224985237189;15,9027208706786
"4306353";430635;"Dezesseis de Novembro";"RS";1;2378;42,0521446593776;15,8863636363636
"2106672";210667;"Milagres do Maranhão";"MA";1;8483;11,7882824472474;15,8793103448276
"3556354";355635;"Vargem";"SP";2;10692;18,7055742611298;15,8521161661215
"4308706";430870;"Gaurama";"RS";2;5489;36,4365093824012;15,8450372078398
"2100154";210015;"Água Doce do Maranhão";"MA";2;12652;15,8077774264938;15,8064039143994
"4101655";410165;"Arapuã";"PR";1;3009;33,2336324360253;15,7669172932331
"3111705";311170;"Canaã";"MG";1;4548;21,9876868953386;15,6687116564417
"3202256";320225;"Governador Lindenberg";"ES";2;12880;15,527950310559;15,6682620750037
"4103008";410300;"Boa Esperança";"PR";1;4047;24,7096614776378;15,6492537313433
"3504909";350490;"Bananal";"SP";2;10993;18,1933957973256;15,5497271234038
"3554805";355480;"Tremembé";"SP";7;47714;14,6707465314164;15,4917038548728
"2200103";220010;"Agricolândia";"PI";1;5131;19,4893782888326;15,2907488986784
"2901502";290150;"Anguera";"BA";2;11297;17,7038151721696;15,2816243607407
"4117057";411705;"Nova Laranjeiras";"PR";2;11507;17,3807247762232;15,2781364784206
"2931053";293105;"Tanque Novo";"BA";3;17443;17,1988763400791;15,2693841420089
"2413102";241310;"Senador Elói de Souza";"RN";1;6127;16,3212012404113;15,1243654822335
"4100509";410050;"Altônia";"PR";4;22176;18,037518037518;15,1074303927541
"2110302";211030;"Santo Antônio dos Lopes";"MA";2;14522;13,7722076848919;15,0998149014936
"1506583";150658;"Santa Maria das Barreiras";"PA";3;21850;13,7299771167048;14,9975358189868
"2109106";210910;"Presidente Dutra";"MA";6;48036;12,4906320259805;14,9884693437143
